state_fips,state_pc,statename,yearmonth,bbce,bbce_inclmt,bbce_asset,bbce_a_amt,bbce_a_veh,bbce_hh,bbce_sen,call,cap,certearn0103,certearn0406,certearn0712,certearn1399,certearnavg,certearnmed,certeld0103,certeld0406,certeld0712,certeld1399,certeldavg,certeldmed,certnonearn0103,certnonearn0406,certnonearn0712,certnonearn1399,certnonearnavg,certnonearnmed,ebtissuance,faceini,facerec,fingerprint,noncitadultfull,noncitadultpart,noncitchildfull,noncitchildpart,nonciteldfull,nonciteldpart,oapp,outreach,reportsimple,transben,vehexclall,vehexclamt,vehexclone
1,AL,Alabama,200010,0,-9,-9,-9,-9,-9,-9,0,0,0.014109347,0.045658531,0.940232122,0,11.52244019,12,0,0,1,0,12,12,0.044635907,0.203425975,0.751938117,0,10.00802804,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200011,0,-9,-9,-9,-9,-9,-9,0,0,0.014109347,0.035759541,0.950131111,0,11.59839979,12,0,0,1,0,12,12,0.03421924,0.208233668,0.757547092,0,10.10952377,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200012,0,-9,-9,-9,-9,-9,-9,0,0,0.014109347,0.041135885,0.944754767,0,11.57712817,12,0,0,1,0,12,12,0.034636168,0.209901377,0.755462456,0,10.10910684,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200101,0,-9,-9,-9,-9,-9,-9,0,0,0.023913269,0.040661502,0.935425229,0,11.49173917,12,0,0.007936508,0.992063492,0,11.92857143,12,0.039265797,0.186753229,0.773980974,0,10.26188462,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200102,0,-9,-9,-9,-9,-9,-9,0,0,0.015976761,0.043836105,0.940187134,0,11.53777092,12,0,0.019047619,0.980952381,0,11.86190476,12,0.042175417,0.195391163,0.76243342,0,10.19787298,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200103,0,-9,-9,-9,-9,-9,-9,0,0,0.019607843,0.031490426,0.948901731,0,11.57190309,12,0,0.031868132,0.968131868,0,11.78498168,12,0.050649993,0.182986348,0.766363658,0,10.19756593,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200104,0,-9,-9,-9,-9,-9,-9,0,0,0.019607843,0.041591436,0.938800721,0,11.50119602,12,0,0.031868132,0.968131868,0,11.78498168,12,0.047754241,0.202773993,0.749471766,0,10.16571265,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200105,0,-9,-9,-9,-9,-9,-9,0,0,0.026552288,0.031490426,0.941957286,0,11.50940309,12,0,0.031868132,0.960556111,0.007575758,11.79255744,12,0.059117877,0.218799634,0.722082489,0,9.937954296,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200106,0,-9,-9,-9,-9,-9,-9,0,0,0.026552288,0.035373341,0.938074371,0,11.49685829,12,0,0.045757021,0.939722777,0.014520202,11.71616855,12,0.057817245,0.228089861,0.714092894,0,9.950124493,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200107,0,-9,-9,-9,-9,-9,-9,0,0,0.016748366,0.06172138,0.921530254,0,11.42700535,12,0,0.04506689,0.940412908,0.014520202,11.74411886,12,0.062803,0.221323479,0.715873521,0,9.930537598,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200108,0,-9,-9,-9,-9,-9,-9,0,0,0.016748366,0.067276936,0.915974698,0,11.41589424,12,0,0.046776291,0.938703507,0.014520202,11.73386245,12,0.048853637,0.216566182,0.734580181,0,10.10534811,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200109,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.080097449,0.912958107,0,11.42758353,12,0,0.033955779,0.951524019,0.014520202,11.81078553,12,0.052006968,0.216500487,0.731492545,0,10.07355203,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,AL,Alabama,200110,0,-9,-9,-9,-9,-9,-9,0,0,0.019764957,0.076406695,0.903828348,0,11.34444444,12,0,0.033955779,0.951524019,0.014520202,11.81078553,12,0.057490712,0.195936445,0.742949654,0.003623188,10.15923554,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,AL,Alabama,200111,0,-9,-9,-9,-9,-9,-9,0,0,0.019230769,0.076406695,0.904362536,0,11.34925214,12,0,0.033955779,0.959099777,0.006944444,11.77195977,12,0.057238187,0.183899408,0.755239216,0.003623188,10.26790557,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,AL,Alabama,200112,0,-9,-9,-9,-9,-9,-9,0,0,0.019230769,0.086378205,0.894391026,0,11.24455128,12,0,0.02006689,0.97993311,0,11.84834866,12,0.05999181,0.170421147,0.765963854,0.003623188,10.31761572,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,AL,Alabama,200201,0,-9,-9,-9,-9,-9,-9,0,0,0.019230769,0.081794872,0.898974359,0,11.25205128,12,0,0.012820513,0.987179487,0,11.89182692,12,0.056437032,0.19326497,0.74667481,0.003623188,10.19949217,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,AL,Alabama,200202,0,-9,-9,-9,-9,-9,-9,0,0,0.019230769,0.065128205,0.915641026,0,11.35205128,12,0,0,1,0,11.96875,12,0.062551637,0.205144774,0.7286804,0.003623188,10.04581176,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
